lei,name,commercial_name,yfinance ticker,bond ticker,trading,bank type,Majority owner
529900SXEWPJ1MRRX537,Raiffeisen-Holding Niederösterreich-Wien,Raiffeisen-Holding Niederösterreich-Wien,,,Private,,
529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,Raiffeisenbankengruppe OÖ Verbund eGen,,,Private,,
AT0000000000043000VB,VOLKSBANK WIEN AG VB,VOLKSBANK WIEN AG VB,,,Private,Cooperative,
A5GWLFH3KM7YV2SFQL84,Belfius Bank,Belfius Bank,,,Private,State-owned,Belgian Federal State
549300DYPOFMXOR7XM56,Crelan,Crelan,,,Private,Cooperative,
5493008QOCP58OLEN998,Investeringsmaatschappij Argenta,Investeringsmaatschappij Argenta,,,Private,Cooperative,
MMYX0N4ZEZ13Z4XCG897,THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK MELLON,,,Private,,
254900RNFMDM0P11YR84,ATLANTIC LUX HOLDCO S.A R.L.,ATLANTIC LUX HOLDCO S.A R.L.,,,Private,,
VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,Bayerische Landesbank,,,Private,Landesbank,
6TJCK1B7E7UTXP528Y04,Citigroup Global Markets Europe AG,Citigroup Global Markets Europe AG,,,Private,,
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,,,Private,Cooperative,
529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main","DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",,,Private,Cooperative,
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DekaBank Deutsche Girozentrale,,,Private,Sparkassen,
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,,,Private,,
8IBZUGJ7JPLH368JE346,Goldman Sachs Bank Europe SE,Goldman Sachs Bank Europe SE,,,Private,,
529900JZTYE3W7WQH904,HASPA Finanzholding,HASPA Finanzholding,,,Private,Sparkassen,
TUKDD90GPC79G1KOE162,Hamburg Commercial Bank AG,Hamburg Commercial Bank AG,,,Private,,
549300ZK53CNGEEI6A29,J.P. Morgan SE,J.P. Morgan SE,,,Private,,
B81CK4ESI35472RHJ606,Landesbank Baden-Württemberg,Landesbank Baden-Württemberg,,,Private,Landesbank,
DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale,Landesbank Hessen-Thüringen Girozentrale,,,Private,Landesbank,
549300C9KPZR0VZ16R05,Morgan Stanley Europe Holding SE,Morgan Stanley Europe Holding SE,,,Private,Special purpose,Morgan Stanley
529900GM944JT8YIRL63,Münchener Hypothekenbank eG,Münchener Hypothekenbank eG,,,Private,Cooperative,
DSNHHQ2B9X5N6OUJ1236,Norddeutsche Landesbank - Girozentrale -,Norddeutsche Landesbank - Girozentrale -,,,Private,Landesbank,
529900V3O1M5IHMOSF46,State Street Europe Holdings Germany S.a.r.l. & Co. KG,State Street Europe Holdings Germany S.a.r.l. & Co. KG,,,Private,,
529900SSGT49ZZSWYE62,Volkswagen Financial Services AG,Volkswagen Financial Services AG,,,Private,,
529900S1KHKOEQL5CK20,Wüstenrot Bausparkasse Aktiengesellschaft,Wüstenrot Bausparkasse Aktiengesellschaft,,,Private,,
LIU16F6VZJSD6UKHD557,Nykredit Realkredit A/S,Nykredit Realkredit A/S,,,Private,,
529900JG015JC10LED24,AS LHV Group,AS LHV Group,,,Private,,
54930056IRBXK0Q1FP96,"Abanca Corporacion Bancaria, S.A.","Abanca Corporacion Bancaria, S.A.",,,Private,,
95980020140005800000,Banco de Crédito Social Cooperativo,Banco de Crédito Social Cooperativo,,,Private,Cooperative,
549300U4LIZV0REEQQ46,"Kutxabank, S.A.","Kutxabank, S.A.",,,Private,State-owned,Basque
529900HEKOENJHPNN480,Kuntarahoitus Oyj,Kuntarahoitus Oyj,,,Private,State-owned,State of Finland
7437003B5WFBOIEFY714,OP Osuuskunta,OP Osuuskunta,,,Private,Cooperative,
549300FH0WJAPEHTIQ77,BofA Securities Europe SA,BofA Securities Europe SA,,,Private,,
969500STN7T9MRUMJ267,Bpifrance,Bpifrance,,,Private,State-owned,French State
9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,Confédération Nationale du Crédit Mutuel,,,Private,Cooperative,
FR9695005MSX1OYEMGDF,Groupe BPCE,Groupe BPCE,,,Private,Cooperative,
F0HUI1NY1AZMJMD8LP67,HSBC Continental Europe,HSBC Continental Europe,,,Private,Special purpose,HSBC Holdings plc
96950066U5XAAIRCPA78,La Banque Postale,La Banque Postale,,,Private,State-owned,French State
96950001WI712W7PQG45,RCI Banque,RCI Banque,,,Private,,
549300HFEHJOXGE4ZE63,SFIL S.A.,SFIL S.A.,,,Private,State-owned,French State
O2RNE8IBXP4R0TD8PU41,Société générale S.A.,Société générale S.A.,GLE.PA,,Public,,
M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,Piraeus Financial Holdings,TPEIR.AT,,Public,,
EQYXK86SF381Q21S3020,Bank of America Europe Designated Activity Company,Bank of America Europe Designated Activity Company,,,Private,,
2G5BKIC2CB69PRJH1W31,Barclays Bank Ireland plc,Barclays Bank Ireland plc,,,Private,,
N1FBEDJ5J41VKZLO2475,Citibank Europe plc,Citibank Europe plc,,,Private,Special purpose,Citigroup Inc
LOO0AWXR8GF142JCO404,CASSA CENTRALE BANCA,CASSA CENTRALE BANCA,,,Private,Cooperative,
NNVPP80YIZGEY2314M97,ICCREA BANCA S.P.A.,ICCREA BANCA S.P.A.,,,Private,Cooperative,
5493009EIBTCB1X12G89,LGT Group Foundation,LGT Group Foundation,,,Private,,
529900OE1FOAM50XLP72,Liechtensteinische Landesbank AG,Liechtensteinische Landesbank AG,,,Private,,
549300TK038P6EV4YU51,Akcinė bendrovė Šiaulių bankas,Akcinė bendrovė Šiaulių bankas,,,Private,,
485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,Revolut Holdings Europe UAB,,,Private,,
9CZ7TVMR36CYD5TZBS50,Banque Internationale à Luxembourg,Banque Internationale à Luxembourg,,,Private,,
R7CQUF1DQM73HUTV1078,"Banque et Caisse d´Epargne de l´Etat, Luxembourg","Banque et Caisse d´Epargne de l´Etat, Luxembourg",,,Private,,
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""","Akciju sabiedrība ""Citadele banka""",,,Private,,
213800TC9PZRBHMJW403,MDB Group Limited,MDB Group Limited,,,Private,,
529900GGYMNGRQTDOO93,BNG Bank N.V.,BNG Bank N.V.,,,Private,State-owned,State of the Netherlands
DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.2,Coöperatieve Rabobank U.A.2,,,Private,,
JLP5FSPH9WPSHY3NIM24,Nederlandse Waterschapsbank N.V.,Nederlandse Waterschapsbank N.V.,,,Private,,
724500JIWG886A9RRT57,RBS Holdings N.V.,RBS Holdings N.V.,,,Private,,
724500A1FNICHSDF2I11,de Volksbank N.V.,de Volksbank N.V.,,,Private,State-owned,State of the Netherlands
7V6Z97IO7R1SEAO84Q32,SpareBank 1 SMN,SpareBank 1 SMN,,,Private,,
549300Q3OIWRHQUQM052,SpareBank 1 Sør-Norge,SpareBank 1 Sør-Norge,,,Private,,
TO822O0VT80V06K0FH57,"Caixa Geral de Depósitos, S.A.","Caixa Geral de Depósitos, S.A.",,,Private,State-owned,Republic of Portugal
222100K6QL2V4MLHWQ08,LSF NANI INVESTMENTS S.A R.L.,LSF NANI INVESTMENTS S.A R.L.,,,Private,,
2138008AVF4W7FMW8W87,CEC BANK SA,CEC BANK SA,,,Private,,
EV2XZWMLLXF2QRX0CD47,Kommuninvest - Grupp,Kommuninvest - Grupp,,,Private,State-owned,Sweden
549300C6TUMDXNOVXS82,Länsförsäkringar Bank AB - gruppen,Länsförsäkringar Bank AB - gruppen,,,Private,,
H0YX5LBGKDVOWCXBZ594,SBAB Bank AB - Grupp,SBAB Bank AB - Grupp,,,Private,State-owned,Sweden
F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - gruppen,Skandinaviska Enskilda Banken - gruppen,SEB-A.ST,,Public,,
213800HDJ876ACJXXD05,AIKGROUP (CY) LIMITED,AIKGROUP (CY) LIMITED,,,Private,,
